project_id, uri, type, filesize, information, downloadcount
"1", "https://api.github.com/repos/mojombo/grit/downloads/5", "null", "1861632", "", "150"
"1653", "https://api.github.com/repos/defunkt/github-gem/downloads/75449", "image/png", "2048", "", "24"
"1653", "https://api.github.com/repos/defunkt/github-gem/downloads/75447", "image/png", "2048", "", "0"
"2058", "https://api.github.com/repos/pingswept/pysolar/downloads/23749", "null", "22528", "Debian Linux package of pysolar 0.4.2", "138"
"3773", "https://api.github.com/repos/tablatom/hobo/downloads/60681", "application/octet-stream", "14336", "", "53"
"3773", "https://api.github.com/repos/tablatom/hobo/downloads/60680", "application/octet-stream", "32768", "", "53"
"3773", "https://api.github.com/repos/tablatom/hobo/downloads/60679", "application/octet-stream", "244736", "", "39"
"4016", "https://api.github.com/repos/psychs/limechat/downloads/309416", "application/gtar", "2423808", "", "33"
"4016", "https://api.github.com/repos/psychs/limechat/downloads/283869", "application/gtar", "2423808", "", "52"
"4016", "https://api.github.com/repos/psychs/limechat/downloads/283248", "application/gtar", "2423808", "", "48"
"4016", "https://api.github.com/repos/psychs/limechat/downloads/176632", "application/gtar", "1638400", "", "60"
"4016", "https://api.github.com/repos/psychs/limechat/downloads/174428", "application/gtar", "1637376", "", "52"
"4016", "https://api.github.com/repos/psychs/limechat/downloads/122518", "application/gtar", "1630208", "", "181"
"4016", "https://api.github.com/repos/psychs/limechat/downloads/116017", "application/gtar", "1888256", "", "230"
"4798", "https://api.github.com/repos/DotNetOpenAuth/DotNetOpenAuth/downloads/95549", ".7z", "6590464", "Official v3.4.7 release", "563"
"4798", "https://api.github.com/repos/DotNetOpenAuth/DotNetOpenAuth/downloads/95548", ".7z", "899072", "OpenIdOfflineProvider v3.4.7 release", "549"
"4798", "https://api.github.com/repos/DotNetOpenAuth/DotNetOpenAuth/downloads/69207", ".7z", "7308288", "OAuth 2.0 CTP refresh", "461"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/33066", "", "161792", "1.7.0_rc2", "6812"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/31080", "application/x-javascript", "160768", "1.7.0_rc1", "722"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15056", "application/x-javascript", "139264", "1.6.1", "1158"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15053", "application/x-javascript", "140288", "1.6.1_rc3", "556"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15052", "application/x-javascript", "139264", "1.6.1_rc2", "527"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15051", "application/x-javascript", "129024", "1.6.0.3", "640"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15050", "application/x-javascript", "125952", "1.6.0.2", "573"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15049", "application/x-javascript", "123904", "1.6.0", "567"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15048", "application/x-javascript", "122880", "1.6.0_rc1", "510"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15047", "application/x-javascript", "122880", "1.6.0_rc0", "504"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15044", "application/x-javascript", "101376", "1.5.2_pre0", "513"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15043", "application/x-javascript", "96256", "1.5.1.2", "526"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15042", "application/x-javascript", "96256", "1.5.1.1", "513"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15041", "application/x-javascript", "95232", "1.5.1", "553"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15040", "application/x-javascript", "95232", "1.5.1_rc4", "508"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15039", "application/x-javascript", "95232", "1.5.1_rc3", "505"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15038", "application/x-javascript", "93184", "1.5.1_rc2", "505"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15037", "application/x-javascript", "93184", "1.5.1_rc1", "518"
"5494", "https://api.github.com/repos/sstephenson/prototype/downloads/15036", "application/x-javascript", "70656", "1.5.0", "570"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/352658", "application/x-gzip", "62464", "", "11717"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/313091", "application/x-gzip", "59392", "", "1065"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/235396", "application/gzip", "59392", "", "6183"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/180208", "application/x-gzip", "61440", "", "3222"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/76759", ".gz", "129024", "", "63"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/76758", ".gz", "140288", "", "23447"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/76757", ".gz", "140288", "", "35"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/76756", ".gz", "138240", "", "96"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/76755", ".gz", "138240", "", "43"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/76754", ".gz", "136192", "", "287"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/76753", ".gz", "136192", "", "16"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/76752", ".gz", "115712", "", "77"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/76751", ".gz", "115712", "", "107"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/76750", ".gz", "176128", "", "14"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/76749", ".gz", "45056", "", "50"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/76748", ".gz", "44032", "", "14"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/76747", ".gz", "38912", "", "12"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/76746", ".gz", "37888", "", "12"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/76745", ".gz", "37888", "", "13"
"6040", "https://api.github.com/repos/kr/beanstalkd/downloads/76744", ".gz", "32768", "", "13"
