project_id, project, ticket_id, created, updated, completed, title, totalcomments, status, author, owner, milestone
"1", "grit", "177", "2013-10-15 05:54:52", "2013-10-15 05:54:52", "open", "Improve gitmodules file parsing", "0", "open", "tsiivola", "no owner", "no milestone"
"1", "grit", "176", "2013-09-17 16:36:08", "2013-09-17 16:36:08", "open", "2.0 Support?", "0", "open", "covard", "no owner", "no milestone"
"1", "grit", "175", "2013-08-26 12:02:07", "2013-09-03 16:58:00", "open", "replace rake/rdoctask with rdoc/task", "1", "open", "ngpestelos", "no owner", "no milestone"
"1", "grit", "174", "2013-08-13 14:34:40", "2013-08-13 14:34:40", "open", "License missing from gemspec", "0", "open", "bf4", "no owner", "no milestone"
"1", "grit", "173", "2013-08-08 04:01:21", "2013-08-08 10:41:24", "open", "No method error in loop.rb", "1", "open", "trans", "no owner", "no milestone"
"1", "grit", "172", "2013-07-11 15:11:18", "2013-07-11 15:15:28", "open", "Load repo upwards in specified path", "0", "open", "mrjordangoldstein", "no owner", "no milestone"
"1", "grit", "171", "2013-07-03 23:02:55", "2013-07-03 23:02:55", "open", "Grit clone using ssh agent", "0", "open", "alagu", "no owner", "no milestone"
"1", "grit", "169", "2013-06-27 07:25:37", "2013-06-27 07:25:37", "open", "Fix two bugs", "0", "open", "cococode", "no owner", "no milestone"
"1", "grit", "168", "2013-06-13 05:06:28", "2013-06-13 05:06:28", "open", "Pass options to Grit::Repo#remote_fetch", "0", "open", "coffeencoke", "no owner", "no milestone"
"1", "grit", "166", "2013-04-18 02:01:50", "2013-05-27 12:57:06", "open", "Exception raised when checking out a specific commit", "1", "open", "duncan-bayne", "no owner", "no milestone"
"1", "grit", "165", "2013-04-13 21:13:42", "2013-05-27 12:50:13", "open", "Fix Tempfile args in Ruby 1.9 to use binary enc", "0", "open", "teleological", "no owner", "no milestone"
"1", "grit", "164", "2013-04-08 01:51:38", "2013-05-27 12:58:39", "open", "Implemented #163: grep search feature", "3", "open", "jacargentina", "no owner", "no milestone"
"1", "grit", "162", "2013-04-02 11:59:05", "2013-04-18 10:58:35", "open", "Use --work-tree in 'native' git method", "1", "open", "alup", "no owner", "no milestone"
"1", "grit", "161", "2013-03-19 17:43:49", "2013-10-18 08:37:24", "open", "Modified to use UTF-8 encoding. (Works with Ruby 2.0)", "2", "open", "harrycheung", "no owner", "no milestone"
"1", "grit", "160", "2013-03-14 23:56:20", "2013-04-10 06:41:15", "open", "Make tests pass in Ruby 2.0.", "1", "open", "pwnall", "no owner", "no milestone"
"1", "grit", "159", "2013-03-14 20:51:15", "2013-03-14 20:51:15", "open", "Fix deprecation error and warning in test suite", "0", "open", "pwnall", "no owner", "no milestone"
"1", "grit", "158", "2013-02-23 19:45:29", "2013-02-25 14:57:49", "open", "Index - remove empty directories", "1", "open", "jonjohn", "no owner", "no milestone"
"1", "grit", "156", "2013-02-13 06:59:44", "2013-02-13 07:00:05", "open", "Issue 117: Fixed wrong magic comparition.", "0", "open", "styx", "no owner", "no milestone"
"1", "grit", "155", "2013-02-12 12:13:59", "2013-02-12 12:32:00", "open", "Ruby 2.0 compatibility fix", "1", "open", "styx", "no owner", "no milestone"
"1", "grit", "153", "2013-01-18 21:47:56", "2013-01-18 21:48:55", "open", "commit_index and commits_since don't seem te work well together. Intermitting problem ", "0", "open", "hajee", "no owner", "no milestone"
"1", "grit", "152", "2013-01-16 03:40:51", "2013-05-17 10:58:39", "open", "Support Ruby >= 2.0 not only 1.9", "1", "open", "davispuh", "no owner", "no milestone"
"1", "grit", "150", "2012-12-29 01:13:51", "2013-06-27 05:53:02", "open", "If there is non-ascii chars in the filename, diff parse failed.", "0", "open", "ranmocy", "no owner", "no milestone"
"1", "grit", "148", "2012-11-07 21:35:37", "2012-11-07 21:35:37", "open", "Grit doesn't correctly identify renames", "0", "open", "dekimsey", "no owner", "no milestone"
"1", "grit", "147", "2012-10-23 10:45:21", "2012-10-23 10:46:17", "open", "Fix git executable search on windows (improved).", "1", "open", "wernight", "no owner", "no milestone"
"1", "grit", "146", "2012-10-17 10:59:23", "2012-10-17 10:59:23", "open", "Minor change, added method to Status class", "0", "open", "hkraji", "no owner", "no milestone"
"1", "grit", "145", "2012-10-07 22:29:41", "2013-06-25 07:47:05", "open", "Make refs support submodules", "4", "open", "ekohl", "no owner", "no milestone"
"1", "grit", "144", "2012-10-03 19:40:04", "2012-10-03 19:41:08", "open", "use git-mktag for Grit::Tag.create_tag_object", "1", "open", "jakedouglas", "no owner", "no milestone"
"1", "grit", "142", "2012-09-17 01:04:27", "2012-09-17 01:06:34", "open", "Differentiate between Modified files and Unstaged changes", "1", "open", "miketheman", "no owner", "no milestone"
"1", "grit", "141", "2012-09-07 06:42:16", "2012-09-07 06:42:16", "open", "NoMethodError when dealing with a GPG signed commit", "0", "open", "alexdo", "no owner", "no milestone"
"1", "grit", "139", "2012-09-02 05:43:16", "2012-09-02 08:56:28", "open", "Grit crashes when dealing with files that have accented characters in them", "1", "open", "thenickperson", "no owner", "no milestone"
"1", "grit", "138", "2012-08-23 11:51:11", "2012-11-26 21:35:27", "open", "Commit timestamps retain timezone info in Ruby 1.9.", "2", "open", "pwnall", "no owner", "no milestone"
"1", "grit", "137", "2012-08-20 14:11:05", "2012-08-20 14:11:05", "open", "exclude git directories from git_binary function", "0", "open", "catz", "no owner", "no milestone"
"1", "grit", "136", "2012-08-16 01:35:33", "2012-08-16 01:35:33", "open", "Incorrect array access fix", "0", "open", "hcayless", "no owner", "no milestone"
"1", "grit", "135", "2012-08-07 06:13:51", "2012-08-07 06:13:51", "open", "change to the correct way of init a bare repo", "0", "open", "wizztjh", "no owner", "no milestone"
"1", "grit", "134", "2012-08-02 13:55:22", "2012-08-06 17:39:31", "open", "Handle encoding header of Git commits when possible.", "3", "open", "akzhan", "no owner", "no milestone"
"1", "grit", "133", "2012-07-16 20:36:24", "2012-08-05 11:10:05", "open", "Grit::Repo#commits_since incorrectly lists all commits", "1", "open", "CodeGnome", "no owner", "no milestone"
"1", "grit", "132", "2012-07-10 09:45:37", "2012-09-22 07:17:04", "open", "Files are deleted after commit", "1", "open", "tonini", "no owner", "no milestone"
"1", "grit", "131", "2012-07-06 19:41:58", "2012-07-20 13:24:29", "open", "Is it alive?", "1", "open", "Vanuan", "no owner", "no milestone"
"1", "grit", "130", "2012-07-03 20:30:21", "2012-07-03 20:30:21", "open", "strip newlines from tree entry names", "0", "open", "technoweenie", "no owner", "no milestone"
"1", "grit", "124", "2012-06-29 19:10:28", "2012-06-29 19:10:28", "open", "Parse log with options", "0", "open", "aceofspades", "no owner", "no milestone"
"1", "grit", "122", "2012-06-20 14:49:22", "2012-06-20 14:49:22", "open", "Is there any plans to rewrite grit with rugged?", "0", "open", "stereobooster", "no owner", "no milestone"
"1", "grit", "121", "2012-06-03 00:57:01", "2012-06-03 00:57:01", "open", "More efficient counting of tags/remotes/heads ", "0", "open", "nathanvda", "no owner", "no milestone"
"1", "grit", "120", "2012-05-24 09:13:56", "2012-05-24 09:13:56", "open", "Feature/workdir", "0", "open", "snowyu", "no owner", "no milestone"
"1", "grit", "119", "2012-05-24 09:10:58", "2012-05-24 09:10:58", "open", "Feature/basename", "0", "open", "snowyu", "no owner", "no milestone"
"1", "grit", "118", "2012-05-23 17:06:33", "2013-04-19 13:20:14", "open", "Hooks", "0", "open", "clowder", "no owner", "no milestone"
"1", "grit", "117", "2012-05-21 06:17:40", "2013-03-22 14:15:09", "open", "Grit::GitRuby::Internal::PackFormatError", "7", "open", "SaitoWu", "no owner", "no milestone"
"1", "grit", "116", "2012-05-15 09:25:34", "2013-02-27 04:19:11", "open", "Added UTF-8 to filenames", "3", "open", "piotreq", "no owner", "no milestone"
"1", "grit", "115", "2012-05-05 20:02:47", "2013-02-12 12:15:06", "open", "Travis", "3", "open", "joliss", "no owner", "no milestone"
"1", "grit", "114", "2012-05-05 19:32:44", "2013-05-31 12:14:06", "open", "Repo.git.refs should support separate .git directories", "1", "open", "joliss", "no owner", "no milestone"
"1", "grit", "113", "2012-05-05 19:06:14", "2012-05-05 19:06:14", "open", "Add Gemfile", "0", "open", "joliss", "no owner", "no milestone"
"1", "grit", "112", "2012-05-01 03:08:12", "2012-05-01 03:08:12", "open", "Grit::Actor#== method for testing equality.", "0", "open", "pda", "no owner", "no milestone"
"1", "grit", "109", "2012-04-20 18:40:17", "2012-05-12 09:51:36", "open", "rev_list broken with utf-8 commit message (Encoding::CompatibilityError)", "1", "open", "sotarok", "no owner", "no milestone"
"1", "grit", "108", "2012-03-27 08:30:03", "2012-03-27 08:30:03", "open", "Make Grit::Status ignore submodule-contained files", "0", "open", "RomainMuller", "no owner", "no milestone"
"1", "grit", "107", "2012-03-14 02:00:42", "2012-06-02 19:57:48", "open", "Bump version and release on Rubygems?", "2", "open", "runemadsen", "no owner", "no milestone"
"1", "grit", "104", "2012-02-07 12:31:35", "2012-02-07 12:32:57", "open", "Make grit compatible with git projects using the gitfile repository format", "0", "open", "cespare", "no owner", "no milestone"
"1", "grit", "102", "2011-12-03 13:10:08", "2012-01-31 13:08:50", "open", "Add Grit::Repo::remote method", "1", "open", "mizzy", "no owner", "no milestone"
"1", "grit", "101", "2011-11-22 16:25:32", "2013-05-13 19:45:00", "open", "Whitespaces in filenames lead to truncated names in commit stats", "0", "open", "kulpae", "no owner", "no milestone"
"1", "grit", "100", "2011-11-13 05:43:06", "2011-11-13 05:43:06", "open", "Fixed Grit::Repo#diff to show diff for commits to unicode file names", "0", "open", "stevendaniels", "no owner", "no milestone"
"1", "grit", "99", "2011-10-20 12:40:57", "2011-10-20 12:40:57", "open", "added correct location detection for win32 git binary", "0", "open", "Zazcallabah", "no owner", "no milestone"
"1", "grit", "98", "2011-10-15 06:51:57", "2011-10-15 06:51:57", "open", "StatusFile::ignored", "0", "open", "blambeau", "no owner", "no milestone"
"1", "grit", "96", "2011-10-08 08:18:59", "2011-10-08 08:18:59", "open", "Commit stats for Ruby libraries does not work (Rails app does)", "0", "open", "sent-hil", "no owner", "no milestone"
"1", "grit", "95", "2011-09-26 20:56:30", "2011-10-14 10:19:28", "open", "Faster tree parsing", "3", "open", "ef4", "no owner", "no milestone"
"1", "grit", "94", "2011-09-15 17:08:30", "2013-07-18 19:08:35", "open", "Ability to specify line range for git blame", "1", "open", "kpumuk", "no owner", "no milestone"
"1", "grit", "93", "2011-09-14 16:03:30", "2011-09-14 16:03:30", "open", "Exception: undefined method `close' for nil:NilClass", "0", "open", "franz", "no owner", "no milestone"
"1", "grit", "91", "2011-08-29 07:05:18", "2011-08-29 07:16:27", "open", "remote_list doesn't show newly created remotes", "1", "open", "gorenje", "no owner", "no milestone"
"1", "grit", "90", "2011-08-24 16:39:10", "2012-06-28 20:31:34", "open", "Allow numeric option arguments", "2", "open", "ef4", "no owner", "no milestone"
"1", "grit", "88", "2011-08-16 10:08:13", "2011-08-16 10:08:13", "open", "test failures", "0", "open", "graaff", "no owner", "no milestone"
"1", "grit", "87", "2011-08-15 12:43:38", "2012-05-25 08:07:34", "open", "tags method does not return but burns CPU", "6", "open", "graaff", "no owner", "no milestone"
"1", "grit", "86", "2011-08-14 00:32:31", "2013-10-16 20:20:21", "open", "Fixing numstat parsing for cases where files have spaces in their filepath", "1", "open", "tanob", "no owner", "no milestone"
"1", "grit", "85", "2011-08-05 01:13:04", "2011-08-05 01:15:28", "open", "Use native cat-file instead of Grit::GitRuby#cat_file to get blob size", "1", "open", "zaeleus", "no owner", "no milestone"
"1", "grit", "84", "2011-08-02 06:06:59", "2011-08-03 08:36:02", "open", "Fix two ifs", "2", "open", "ghost", "no owner", "no milestone"
"1", "grit", "83", "2011-07-20 08:36:34", "2011-07-20 08:36:34", "open", "Fixed Grit::Git#options_to_argv generates invalid sequence of arguments.", "0", "open", "yuroyoro", "no owner", "no milestone"
"1", "grit", "82", "2011-07-19 14:47:54", "2011-07-19 14:47:54", "open", "Fixing a typo, :base should be :bare", "0", "open", "lukefx", "no owner", "no milestone"
"1", "grit", "81", "2011-07-13 02:04:33", "2013-10-16 18:12:24", "open", "Fix Repository#rev_list silently ignoring :since and :until when they're of a class other than Time", "1", "open", "adammck", "no owner", "no milestone"
"1", "grit", "80", "2011-07-12 08:39:33", "2011-07-13 01:53:14", "open", "Fix Repository#rev_list when called with :until", "1", "open", "adammck", "no owner", "no milestone"
"1", "grit", "79", "2011-07-07 01:48:19", "2013-10-16 20:39:09", "open", "Better count", "1", "open", "suguiura", "no owner", "no milestone"
"1", "grit", "76", "2011-06-21 07:40:20", "2011-06-21 11:12:15", "open", "Warning about "spawn" method redefinition", "3", "open", "microspino", "no owner", "no milestone"
"1", "grit", "75", "2011-06-16 03:56:13", "2012-10-19 10:12:13", "open", "Fix git executable search on windows.", "4", "open", "Ziaw", "no owner", "no milestone"
"1", "grit", "70", "2011-06-02 02:34:28", "2013-10-16 12:53:51", "open", "Fixed commits_since method", "1", "open", "bobbywilson0", "no owner", "no milestone"
"1", "grit", "67", "2011-05-26 17:06:30", "2011-07-13 22:50:44", "open", "Stack Level Too Deep in unpack_compressed", "11", "open", "masukomi", "no owner", "no milestone"
"1", "grit", "66", "2011-05-06 13:59:12", "2011-05-06 13:59:12", "open", "git config --get-all not supported", "0", "open", "masukomi", "no owner", "no milestone"
"1", "grit", "63", "2011-04-13 19:10:45", "2011-04-13 19:10:45", "open", "unable to unpack files stored with pack.window 0", "0", "open", "orefalo", "no owner", "no milestone"
