 ticket_id, title
177,Improve gitmodules file parsing
176,2.0 Support?
175,replace rake/rdoctask with rdoc/task
174,License missing from gemspec
173,No method error in loop.rb
172,Load repo upwards in specified path
171,Grit clone using ssh agent
169,Fix two bugs
168,Pass options to Grit::Repo#remote_fetch
166,Exception raised when checking out a specific commit
165,Fix Tempfile args in Ruby 1.9 to use binary enc
164,Implemented #163: grep search feature
162,Use --work-tree in 'native' git method
161,Modified to use UTF-8 encoding. (Works with Ruby 2.0)
160,Make tests pass in Ruby 2.0.
159,Fix deprecation error and warning in test suite
158,Index - remove empty directories
156,Issue 117: Fixed wrong magic comparition.
155,Ruby 2.0 compatibility fix
153,commit_index and commits_since don't seem te work well together. Intermitting problem 
152,Support Ruby >= 2.0 not only 1.9
150,"If there is non-ascii chars in the filename, diff parse failed."
148,Grit doesn't correctly identify renames
147,Fix git executable search on windows (improved).
146,"Minor change, added method to Status class"
145,Make refs support submodules
144,use git-mktag for Grit::Tag.create_tag_object
142,Differentiate between Modified files and Unstaged changes
141,NoMethodError when dealing with a GPG signed commit
139,Grit crashes when dealing with files that have accented characters in them
138,Commit timestamps retain timezone info in Ruby 1.9.
137,exclude git directories from git_binary function
136,Incorrect array access fix
135,change to the correct way of init a bare repo
134,Handle encoding header of Git commits when possible.
133,Grit::Repo#commits_since incorrectly lists all commits
132,Files are deleted after commit
131,Is it alive?
130,strip newlines from tree entry names
124,Parse log with options
122,Is there any plans to rewrite grit with rugged?
121,More efficient counting of tags/remotes/heads 
120,Feature/workdir
119,Feature/basename
118,Hooks
117,Grit::GitRuby::Internal::PackFormatError
116,Added UTF-8 to filenames
115,Travis
114,Repo.git.refs should support separate .git directories
113,Add Gemfile
112,Grit::Actor#== method for testing equality.
109,rev_list broken with utf-8 commit message (Encoding::CompatibilityError)
108,Make Grit::Status ignore submodule-contained files
107,Bump version and release on Rubygems?
104,Make grit compatible with git projects using the gitfile repository format
102,Add Grit::Repo::remote method
101,Whitespaces in filenames lead to truncated names in commit stats
100,Fixed Grit::Repo#diff to show diff for commits to unicode file names
99,added correct location detection for win32 git binary
98,StatusFile::ignored
96,Commit stats for Ruby libraries does not work (Rails app does)
95,Faster tree parsing
94,Ability to specify line range for git blame
93,Exception: undefined method `close' for nil:NilClass
91,remote_list doesn't show newly created remotes
90,Allow numeric option arguments
88,test failures
87,tags method does not return but burns CPU
86,Fixing numstat parsing for cases where files have spaces in their filepath
85,Use native cat-file instead of Grit::GitRuby#cat_file to get blob size
84,Fix two ifs
83,Fixed Grit::Git#options_to_argv generates invalid sequence of arguments.
82,"Fixing a typo, :base should be :bare"
81,Fix Repository#rev_list silently ignoring :since and :until when they're of a class other than Time
80,Fix Repository#rev_list when called with :until
79,Better count
76,"Warning about ""spawn"" method redefinition"
75,Fix git executable search on windows.
70,Fixed commits_since method
67,Stack Level Too Deep in unpack_compressed
66,git config --get-all not supported
63,unable to unpack files stored with pack.window 0
57,Error when trying to get commits in the empty repo
56,git.rev_list is incorrect for tags
55,Support git hooks
54,Index#write_tree won't remove directories
53,Avoid spurious changes in diff-* commands
52,Memoize index
47,NoSuchPathError when cloning remote repo via ssh. Cloning remote also seems a little difficult.
45,Make Repo#diff return valid blobs
43,Use appropriate working tree in git commands
41,grit.commits_since... SystemStackError: stack level too deep
39,Improved repository check in Repo#initialize
38,Grit::GitRuby::Repository.rev_list can produce results in the wrong order (parent before child)
34,test_tag.rb 's ordering of tags disagrees with git(1).
33,Include Rakefile and tests in gem
32,Hunks
31,Git pull and reset
30,Repo.commit deletes objects that don't exist on the FS
28,How can I get remote repository with grit?
27,Invalid tar file on windows
24,1.9 Encoding Issue
21,Make remote/HEAD resolve to a commit id
19,Tree#to_s to give sha1?
18,Difficult to get tree sha1 from repo/head
17,init_bare ignores errors from git-init
16,r.head.commit is 'HEAD' in empty repo
15,update_ref is not atomic
14,.git/description missing on server
12,I get nil for blob.name when fetched directly from the Repo
10,Grit::Git#sh has problem with stdout.read on Passenger
4,win32 popen3
3,Need to set --work-tree
2,Should throw errors
2778,Process.spawn with non-existing command should set $? accordingly.
2776,crash report - Thread deadlock in ::lock()!
2775,crash during execution
2772,IO#read without args on a socket should return ASCII-8BIT string
2771,rb_io_get_io missing from C-API
2765,Omniauth undefined method `encoding' on nil:NilClass.
2764,Unable to unpack bootstrap gems during configure
2758,"getsockopt with symbol level,optname fails"
2756,still missing some socket constants
2754,FD_CLOEXEC should be default for Ruby 2.0 compatibility
2746,BigDecimal is too slow (need benchmark)
2740, Too many open files - creating pipe (Errno::EMFILE)
2737,Some failures when running the mspecs on OpenBSD
2734,Rubinius build options override those provided to gem installs
2732,Unable to rbx -S gem install bundler with rubinius 2.1.1 on OpenBSD
2730,RSpec / Rails: Slow startup/run times.
2711,Global variables with local scope
2710,JSON.dump performance issue
2708,crash report
2692,Abort on running a threaded task
2691,Installing rubinius 2.x.x fails
2685,IO#ensure_open_and_writable might not check writability correctly
2682,Rails server raises exception
2679,Crash when firing up Rails app
2678,Problem destructuring block arguments with unused (_) variables
2674,Crash when using Pry in highly concurrent environment
2673,Crash when very quickly creating 300+ threads
2669,keyword arguments
