project, year, totaltickets, opentickets, gcstars, totalrepowrites, watchers, collaborators, size, language
"4601", "2008", "0", "0", "2", "131", "2", "0", "3520", "Ruby"
"4604", "2008", "0", "0", "3", "20", "3", "0", "116", "Ruby"
"4612", "2008", "0", "0", "2", "68", "2", "0", "229", "Ruby"
"4619", "2008", "3", "3", "39", "15", "39", "3", "141", "Ruby"
"4623", "2008", "0", "0", "7", "36", "7", "0", "108", "Ruby"
"4635", "2008", "0", "0", "22", "19", "22", "4", "502", "JavaScript"
"4638", "2008", "0", "0", "3", "1", "3", "0", "80", "Ruby"
"4640", "2008", "1", "1", "2", "16", "2", "0", "256", "JavaScript"
"4641", "2008", "0", "0", "2", "4", "2", "0", "308", "Ruby"
"4644", "2008", "0", "0", "3", "12", "3", "0", "196", "Ruby"
"4647", "2008", "0", "0", "12", "182", "12", "3", "10075", "JavaScript"
"4656", "2008", "1", "1", "565", "149", "565", "115", "4320", "Ruby"
"4669", "2008", "0", "0", "1", "22", "1", "0", "112", "Shell"
"4689", "2008", "0", "0", "3", "2", "3", "0", "81", "Ruby"
"4691", "2008", "0", "0", "11", "11", "11", "4", "90", "Ruby"
"4693", "2008", "1", "1", "4", "1", "4", "0", "796", "JavaScript"
"4695", "2008", "0", "0", "3", "18", "3", "0", "256", "Ruby"
"4702", "2008", "0", "0", "2", "3", "2", "1", "87", "Ruby"
"4707", "2008", "0", "0", "14", "7", "14", "2", "80", "Ruby"
"4708", "2008", "1", "1", "2", "2", "2", "0", "136", "Ruby"
"4711", "2008", "0", "0", "5", "6", "5", "0", "104", "Ruby"
"4716", "2008", "0", "0", "2", "1", "2", "0", "96", "Ruby"
"4718", "2008", "0", "0", "1", "1", "1", "0", "92", "Ruby"
"4719", "2008", "0", "0", "3", "4", "3", "0", "109", ""
"4720", "2008", "0", "0", "2", "4", "2", "0", "152", "Ruby"
"4728", "2008", "0", "0", "5", "18", "5", "0", "120", "Ruby"
"4731", "2008", "0", "0", "21", "25", "21", "5", "105", "JavaScript"
"4735", "2008", "0", "0", "9", "5", "9", "4", "281", "JavaScript"
"4736", "2008", "0", "0", "7", "4", "7", "0", "164", "Ruby"
"4741", "2008", "0", "0", "5", "691", "5", "1", "957", "Arc"
"4751", "2008", "0", "0", "5", "10", "5", "1", "96", "JavaScript"
"4755", "2008", "0", "0", "2", "67", "2", "0", "188", "Ruby"
"4756", "2008", "2", "2", "60", "157", "60", "8", "410", "Ruby"
"4772", "2008", "0", "0", "2", "40", "2", "0", "160", ""
"4778", "2008", "0", "0", "3", "30", "3", "0", "100", "Common Lisp"
"4788", "2008", "0", "0", "36", "1102", "36", "4", "3156", "Ruby"
"4796", "2008", "0", "0", "37", "71", "37", "5", "429", "Ruby"
"4798", "2008", "69", "69", "847", "3484", "847", "498", "88640", "C#"
"4809", "2008", "1", "1", "40", "174", "40", "4", "280", "Ruby"
"4815", "2008", "0", "0", "2", "", "2", "0", "48", ""
"4820", "2008", "0", "0", "2", "4", "2", "0", "172", "Ruby"
"4821", "2008", "0", "0", "2", "2", "2", "0", "1872", "Ruby"
"4822", "2008", "1", "1", "12", "25", "12", "0", "140", "Common Lisp"
"4826", "2008", "8", "8", "680", "1374", "680", "28", "11753", "Erlang"
"4828", "2008", "96", "96", "3158", "884", "3158", "717", "3135", "Ruby"
"4833", "2008", "0", "0", "15", "2", "15", "1", "75", "Ruby"
"4834", "2008", "0", "0", "5", "7", "5", "0", "1592", "JavaScript"
"4840", "2008", "0", "0", "2", "22", "2", "0", "2448", "C"
